Apical_x, Apical_y, Basal_x, Basal_y
0,1,0,-7
1.125,1,1.125,0
2.25,1,2.25,0
3.375,1,3.375,0
4.5,1,4.5,0
5.625,1,5.625,0
6.75,1,6.75,0
7.875,1,7.875,0
9,1,9,0
